"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",22,"1","BG",2005,2660,6.6,"Bulgaria","Eastern Europe"
"NR",22,"1","CZ",2005,2357,4.7,"Czechia","Eastern Europe"
"NR",22,"1","EE",2005,566,8.2,"Estonia","Eastern Europe"
"NR",22,"1","EL",2005,1861,3.7,"Greece","Southern Europe"
"NR",22,"1","ES",2005,6145,2.4,"Spain","Southern Europe"
"NR",22,"1","HU",2005,1800,4,"Hungary","Eastern Europe"
"NR",22,"1","NL",2005,2579,3,"Netherlands","Western Europe"
"NR",22,"1","PL",2005,14674,7.9,"Poland","Eastern Europe"
"NR",22,"1","PT",2005,2481,4.2,"Portugal","Southern Europe"
"NR",22,"1","RO",2005,6733,6,"Roumania","Eastern Europe"
"NR",23,"1","AT",2005,2198,6.1,"Austria","Western Europe"
"NR",23,"1","BE",2005,2738,5,"Belgium","Western Europe"
"NR",23,"1","BG",2005,2814,7,"Bulgaria","Eastern Europe"
"NR",23,"1","CZ",2005,2616,5.2,"Czechia","Eastern Europe"
"NR",23,"1","EE",2005,535,7.7,"Estonia","Eastern Europe"
"NR",23,"1","EL",2005,2188,4.3,"Greece","Southern Europe"
"NR",23,"1","ES",2005,7032,2.7,"Spain","Southern Europe"
"NR",23,"1","HU",2005,2140,4.8,"Hungary","Eastern Europe"
"NR",23,"1","NL",2005,3085,3.6,"Netherlands","Western Europe"
"NR",23,"1","PL",2005,14547,7.8,"Poland","Eastern Europe"
"NR",23,"1","PT",2005,2723,4.7,"Portugal","Southern Europe"
"NR",23,"1","RO",2005,7341,6.5,"Roumania","Eastern Europe"
"NR",24,"1","AT",2005,2265,6.3,"Austria","Western Europe"
"NR",24,"1","BE",2005,3467,6.4,"Belgium","Western Europe"
"NR",24,"1","BG",2005,2768,6.9,"Bulgaria","Eastern Europe"
"NR",24,"1","CZ",2005,3119,6.3,"Czechia","Eastern Europe"
"NR",24,"1","EE",2005,540,7.8,"Estonia","Eastern Europe"
"NR",24,"1","EL",2005,2536,5,"Greece","Southern Europe"
"NR",24,"1","ES",2005,8266,3.2,"Spain","Southern Europe"
"NR",24,"1","HU",2005,2594,5.8,"Hungary","Eastern Europe"
"NR",24,"1","NL",2005,3904,4.6,"Netherlands","Western Europe"
"NR",24,"1","PL",2005,15591,8.4,"Poland","Eastern Europe"
"NR",24,"1","PT",2005,2974,5.1,"Portugal","Southern Europe"
"NR",24,"1","RO",2005,8005,7.1,"Roumania","Eastern Europe"
"NR",25,"1","AT",2005,2380,6.6,"Austria","Western Europe"
"NR",25,"1","BE",2005,4271,7.9,"Belgium","Western Europe"
"NR",25,"1","BG",2005,2827,7,"Bulgaria","Eastern Europe"
"NR",25,"1","CZ",2005,4052,8.1,"Czechia","Eastern Europe"
"NR",25,"1","EE",2005,555,8,"Estonia","Eastern Europe"
"NR",25,"1","EL",2005,2940,5.8,"Greece","Southern Europe"
"NR",25,"1","ES",2005,10182,3.9,"Spain","Southern Europe"
"NR",25,"1","HU",2005,3174,7.1,"Hungary","Eastern Europe"
"NR",25,"1","NL",2005,4507,5.3,"Netherlands","Western Europe"
"NR",25,"1","PL",2005,16768,9,"Poland","Eastern Europe"
"NR",25,"1","PT",2005,3388,5.8,"Portugal","Southern Europe"
"NR",25,"1","RO",2005,8186,7.2,"Roumania","Eastern Europe"
"NR",26,"1","AT",2005,2374,6.6,"Austria","Western Europe"
"NR",26,"1","BE",2005,4673,8.6,"Belgium","Western Europe"
