"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",26,"1","PL",2018,13737,8.3,"Poland","Eastern Europe"
"NR",26,"1","PT",2018,2101,4.7,"Portugal","Southern Europe"
"NR",26,"1","RO",2018,6593,6.2,"Roumania","Eastern Europe"
"NR",27,"1","AT",2018,2783,6.9,"Austria","Western Europe"
"NR",27,"1","BE",2018,4454,8.8,"Belgium","Western Europe"
"NR",27,"1","BG",2018,2248,7.4,"Bulgaria","Eastern Europe"
"NR",27,"1","CZ",2018,4574,8.4,"Czechia","Eastern Europe"
"NR",27,"1","EE",2018,449,8.5,"Estonia","Eastern Europe"
"NR",27,"1","EL",2018,2124,5.3,"Greece","Southern Europe"
"NR",27,"1","ES",2018,7336,4,"Spain","Southern Europe"
"NR",27,"1","HU",2018,2685,6.5,"Hungary","Eastern Europe"
"NR",27,"1","NL",2018,5934,7.9,"Netherlands","Western Europe"
"NR",27,"1","PL",2018,14884,9,"Poland","Eastern Europe"
"NR",27,"1","PT",2018,2412,5.4,"Portugal","Southern Europe"
"NR",27,"1","RO",2018,6697,6.3,"Roumania","Eastern Europe"
"NR",28,"1","AT",2018,2894,7.2,"Austria","Western Europe"
"NR",28,"1","BE",2018,4749,9.4,"Belgium","Western Europe"
"NR",28,"1","BG",2018,2287,7.5,"Bulgaria","Eastern Europe"
"NR",28,"1","CZ",2018,4686,8.6,"Czechia","Eastern Europe"
"NR",28,"1","EE",2018,465,8.8,"Estonia","Eastern Europe"
"NR",28,"1","EL",2018,2459,6.1,"Greece","Southern Europe"
"NR",28,"1","ES",2018,8753,4.8,"Spain","Southern Europe"
"NR",28,"1","HU",2018,2841,6.9,"Hungary","Eastern Europe"
"NR",28,"1","NL",2018,6616,8.8,"Netherlands","Western Europe"
"NR",28,"1","PL",2018,14351,8.7,"Poland","Eastern Europe"
"NR",28,"1","PT",2018,2744,6.2,"Portugal","Southern Europe"
"NR",28,"1","RO",2018,8065,7.6,"Roumania","Eastern Europe"
"NR",29,"1","AT",2018,2984,7.4,"Austria","Western Europe"
"NR",29,"1","BE",2018,4734,9.4,"Belgium","Western Europe"
"NR",29,"1","BG",2018,2137,7,"Bulgaria","Eastern Europe"
"NR",29,"1","CZ",2018,4734,8.7,"Czechia","Eastern Europe"
"NR",29,"1","EE",2018,457,8.7,"Estonia","Eastern Europe"
"NR",29,"1","EL",2018,2689,6.7,"Greece","Southern Europe"
"NR",29,"1","ES",2018,10060,5.5,"Spain","Southern Europe"
"NR",29,"1","HU",2018,2842,6.9,"Hungary","Eastern Europe"
"NR",29,"1","NL",2018,6755,8.9,"Netherlands","Western Europe"
"NR",29,"1","PL",2018,13081,7.9,"Poland","Eastern Europe"
"NR",29,"1","PT",2018,3062,6.9,"Portugal","Southern Europe"
"NR",29,"1","RO",2018,7583,7.1,"Roumania","Eastern Europe"
"NR",30,"1","AT",2018,2976,7.4,"Austria","Western Europe"
"NR",30,"1","BE",2018,4304,8.5,"Belgium","Western Europe"
"NR",30,"1","BG",2018,1968,6.5,"Bulgaria","Eastern Europe"
"NR",30,"1","CZ",2018,4433,8.1,"Czechia","Eastern Europe"
"NR",30,"1","EE",2018,395,7.5,"Estonia","Eastern Europe"
"NR",30,"1","EL",2018,2946,7.3,"Greece","Southern Europe"
"NR",30,"1","ES",2018,11560,6.4,"Spain","Southern Europe"
"NR",30,"1","HU",2018,2849,6.9,"Hungary","Eastern Europe"
"NR",30,"1","NL",2018,6832,9,"Netherlands","Western Europe"
